;rank;population_name;population_size;sample_name;sample_size;sample_mean
0;0;Population 100;100;sample_0;5;0.07208590905947738
1;1;Population 100;100;sample_1;10;0.21252534802548229
2;2;Population 100;100;sample_2;15;-0.4647752335656184
3;3;Population 100;100;sample_3;20;-0.1380081923889322
4;4;Population 100;100;sample_4;25;-0.06429691739960518
5;5;Population 100;100;sample_5;30;0.2174524673519529
6;6;Population 100;100;sample_6;35;0.12600855837723848
7;7;Population 100;100;sample_7;40;-0.2566230148978862
8;8;Population 100;100;sample_8;45;-0.02120335652078336
9;9;Population 100;100;sample_9;50;-0.13479714934493434
10;10;Population 100;100;sample_10;55;-0.10444887842211506
11;11;Population 100;100;sample_11;60;0.006584072874914185
12;12;Population 100;100;sample_12;65;0.10751426020836541
13;13;Population 100;100;sample_13;70;-0.3026075113499654
14;14;Population 100;100;sample_14;75;0.05207562241870641
15;15;Population 100;100;sample_15;80;0.06734069448101154
16;16;Population 100;100;sample_16;85;0.12458092946467085
17;17;Population 100;100;sample_17;90;0.10180274332739074
18;18;Population 100;100;sample_18;95;0.0605438687018321
19;19;Population 600;600;sample_19;5;-0.35222918867634684
20;20;Population 600;600;sample_20;10;0.08360158625440897
21;21;Population 600;600;sample_21;15;0.272826942617267
22;22;Population 600;600;sample_22;20;0.14915638907900525
23;23;Population 600;600;sample_23;25;-0.4049276400115225
24;24;Population 600;600;sample_24;30;0.03230242381974146
25;25;Population 600;600;sample_25;35;0.07878417441103856
26;26;Population 600;600;sample_26;40;0.03817639115138373
27;27;Population 600;600;sample_27;45;-0.1335965519706603
28;28;Population 600;600;sample_28;50;-0.013278074115180201
29;29;Population 600;600;sample_29;55;-0.15808722993011956
30;30;Population 600;600;sample_30;60;0.015739353696201885
31;31;Population 600;600;sample_31;65;0.1136213675254148
32;32;Population 600;600;sample_32;70;-0.07810883199607847
33;33;Population 600;600;sample_33;75;0.1817651361353964
34;34;Population 600;600;sample_34;80;-0.07092758129030421
35;35;Population 600;600;sample_35;85;0.11050185123966483
36;36;Population 600;600;sample_36;90;0.10225748048337374
37;37;Population 600;600;sample_37;95;0.07451720149904277
38;38;Population 600;600;sample_38;100;0.03644521016624655
39;39;Population 600;600;sample_39;105;0.014481355109145652
40;40;Population 600;600;sample_40;110;0.07766802066963194
41;41;Population 600;600;sample_41;115;0.1382731676647966
42;42;Population 600;600;sample_42;120;0.06153417980353024
43;43;Population 600;600;sample_43;125;-0.07033644314263413
44;44;Population 600;600;sample_44;130;-0.015060783996309614
45;45;Population 600;600;sample_45;135;-0.039955066970593284
46;46;Population 600;600;sample_46;140;-0.14728165383178227
47;47;Population 600;600;sample_47;145;0.021453552485769932
48;48;Population 600;600;sample_48;150;-0.011824783123130789
49;49;Population 600;600;sample_49;155;0.051740307113958876
50;50;Population 600;600;sample_50;160;-0.07616115815960878
51;51;Population 600;600;sample_51;165;-0.00913357221855435
52;52;Population 600;600;sample_52;170;0.05349190635862004
53;53;Population 600;600;sample_53;175;0.1455061611018266
54;54;Population 600;600;sample_54;180;0.016755395720765585
55;55;Population 600;600;sample_55;185;0.011596565497793133
56;56;Population 600;600;sample_56;190;-0.08880569749879787
57;57;Population 600;600;sample_57;195;-0.08291744422113502
58;58;Population 600;600;sample_58;200;-0.011393226616596355
59;59;Population 600;600;sample_59;205;0.12791687637373747
60;60;Population 600;600;sample_60;210;-0.08087265856471001
61;61;Population 600;600;sample_61;215;0.015287696367387416
62;62;Population 600;600;sample_62;220;0.00656495660586677
63;63;Population 600;600;sample_63;225;0.10566423402024563
64;64;Population 600;600;sample_64;230;-0.0820229124235903
65;65;Population 600;600;sample_65;235;-0.09635445979652235
66;66;Population 600;600;sample_66;240;-0.014090834028316901
67;67;Population 600;600;sample_67;245;0.08689025091650385
68;68;Population 600;600;sample_68;250;-0.07307497883050638
69;69;Population 600;600;sample_69;255;-0.045748571471216526
70;70;Population 600;600;sample_70;260;-0.05594672380906967
71;71;Population 600;600;sample_71;265;-0.056581310275210996
72;72;Population 600;600;sample_72;270;-0.014754199689277285
73;73;Population 600;600;sample_73;275;-0.057147664240037394
74;74;Population 600;600;sample_74;280;-0.037494594367000825
75;75;Population 600;600;sample_75;285;-0.10274013937961865
76;76;Population 600;600;sample_76;290;-0.04164469470664909
77;77;Population 600;600;sample_77;295;0.021999754334813115
78;78;Population 600;600;sample_78;300;0.06831129406388814
79;79;Population 600;600;sample_79;305;-0.05714850826544813
80;80;Population 600;600;sample_80;310;0.054195174818071526
81;81;Population 600;600;sample_81;315;0.02088912554761358
82;82;Population 600;600;sample_82;320;-0.005451084070724607
83;83;Population 600;600;sample_83;325;-0.020732248372068857
84;84;Population 600;600;sample_84;330;0.011493965905790158
85;85;Population 600;600;sample_85;335;0.0368843211108038
86;86;Population 600;600;sample_86;340;-0.01713138343017893
87;87;Population 600;600;sample_87;345;0.03971119003168908
88;88;Population 600;600;sample_88;350;0.041537397305076856
89;89;Population 600;600;sample_89;355;-0.014454038907963068
90;90;Population 600;600;sample_90;360;-0.04982528983029587
91;91;Population 600;600;sample_91;365;-0.0763857325131294
92;92;Population 600;600;sample_92;370;-0.07088491476555842
93;93;Population 600;600;sample_93;375;0.005562956050600811
94;94;Population 600;600;sample_94;380;0.015663937741974124
95;95;Population 600;600;sample_95;385;0.07096178739148302
96;96;Population 600;600;sample_96;390;0.06301274315210463
97;97;Population 600;600;sample_97;395;0.07237480838427257
98;98;Population 600;600;sample_98;400;0.059805511232580225
99;99;Population 600;600;sample_99;405;0.004253414637485932
100;100;Population 600;600;sample_100;410;-0.07301921026873281
101;101;Population 600;600;sample_101;415;0.05720613433410192
102;102;Population 600;600;sample_102;420;0.012165984486319314
103;103;Population 600;600;sample_103;425;0.06543865338713817
104;104;Population 600;600;sample_104;430;-0.02631239576350969
105;105;Population 600;600;sample_105;435;0.009372446935575674
106;106;Population 600;600;sample_106;440;0.04474133108801645
107;107;Population 600;600;sample_107;445;0.03857332446233386
108;108;Population 600;600;sample_108;450;0.08325495224480588
