;rank;population_name;population_size;sample_name;sample_size;sample_mean
0;0;Population 100;100;sample_0;5;0.14663331049327435
1;1;Population 100;100;sample_1;10;0.6239051623587777
2;2;Population 100;100;sample_2;15;-0.0955049105653441
3;3;Population 100;100;sample_3;20;0.050843866971600316
4;4;Population 100;100;sample_4;25;0.15615248210654545
5;5;Population 100;100;sample_5;30;0.08917932846970064
6;6;Population 100;100;sample_6;35;0.2098552554405543
7;7;Population 100;100;sample_7;40;0.04198954442672635
8;8;Population 100;100;sample_8;45;0.28775943884808436
9;9;Population 100;100;sample_9;50;-0.004881118605032447
10;10;Population 100;100;sample_10;55;0.11150894217448647
11;11;Population 100;100;sample_11;60;-0.010495659217888968
12;12;Population 100;100;sample_12;65;0.13997979611910596
13;13;Population 100;100;sample_13;70;-0.01987092360355158
14;14;Population 100;100;sample_14;75;-0.08305578660751911
15;15;Population 100;100;sample_15;80;0.07153874646840067
16;16;Population 100;100;sample_16;85;-0.056854794467655914
17;17;Population 100;100;sample_17;90;-0.10716979618889969
18;18;Population 100;100;sample_18;95;0.045889342495265495
19;19;Population 600;600;sample_19;5;-0.20863210745097663
20;20;Population 600;600;sample_20;10;-0.3983201181944544
21;21;Population 600;600;sample_21;15;-0.28274358393083965
22;22;Population 600;600;sample_22;20;-0.09167636185551728
23;23;Population 600;600;sample_23;25;-0.10508101993258336
24;24;Population 600;600;sample_24;30;0.1750841136737784
25;25;Population 600;600;sample_25;35;0.19563019804252846
26;26;Population 600;600;sample_26;40;-0.0459417524776769
27;27;Population 600;600;sample_27;45;-0.0658527410931005
28;28;Population 600;600;sample_28;50;0.11676527014322806
29;29;Population 600;600;sample_29;55;0.15675990337105256
30;30;Population 600;600;sample_30;60;-0.17001131909348344
31;31;Population 600;600;sample_31;65;-0.09627102984179672
32;32;Population 600;600;sample_32;70;0.05866935772443847
33;33;Population 600;600;sample_33;75;0.02941686966999697
34;34;Population 600;600;sample_34;80;0.08324929783765544
35;35;Population 600;600;sample_35;85;0.011824211591970618
36;36;Population 600;600;sample_36;90;-0.08922063291714491
37;37;Population 600;600;sample_37;95;-0.0003862252449992209
38;38;Population 600;600;sample_38;100;0.05545525988047114
