;rank;population_name;population_size;sample_name;sample_size;sample_mean
0;0;Population 100;100;sample_0;5;0.14501975099386813
1;1;Population 100;100;sample_1;10;-0.14252314790858903
2;2;Population 100;100;sample_2;15;0.27016139491730484
3;3;Population 100;100;sample_3;20;0.17694357515601938
4;4;Population 100;100;sample_4;25;0.0683228043942162
5;5;Population 100;100;sample_5;30;0.11870196925334478
6;6;Population 100;100;sample_6;35;0.05324724074001149
7;7;Population 100;100;sample_7;40;-0.14114989724037252
8;8;Population 100;100;sample_8;45;-0.20020994517432658
9;9;Population 100;100;sample_9;50;-0.0530449540268641
10;10;Population 100;100;sample_10;55;-0.029651554042859043
11;11;Population 100;100;sample_11;60;-0.0983114162675159
12;12;Population 100;100;sample_12;65;-0.04450832640215305
13;13;Population 100;100;sample_13;70;-0.010524658770990996
14;14;Population 100;100;sample_14;75;0.2633243966449459
15;15;Population 100;100;sample_15;80;0.06907567859573374
16;16;Population 100;100;sample_16;85;-0.012917332304332424
17;17;Population 100;100;sample_17;90;0.04382386752622276
18;18;Population 100;100;sample_18;95;0.005645467311640408
19;19;Population 600;600;sample_19;5;-0.19780296744405454
20;20;Population 600;600;sample_20;10;0.09280206182355144
21;21;Population 600;600;sample_21;15;0.14744516896403076
22;22;Population 600;600;sample_22;20;-0.6190131789399261
23;23;Population 600;600;sample_23;25;0.11760355969673342
24;24;Population 600;600;sample_24;30;0.2537601799266874
25;25;Population 600;600;sample_25;35;-0.16788372177453625
26;26;Population 600;600;sample_26;40;-0.06104079710511155
27;27;Population 600;600;sample_27;45;-0.05928981709127269
28;28;Population 600;600;sample_28;50;-3.292994914783076e-05
29;29;Population 600;600;sample_29;55;0.1986652206471848
30;30;Population 600;600;sample_30;60;-0.10949759718463227
31;31;Population 600;600;sample_31;65;0.2336731223470611
32;32;Population 600;600;sample_32;70;0.021969880982838245
33;33;Population 600;600;sample_33;75;0.05493460973209471
34;34;Population 600;600;sample_34;80;0.04140997176338662
35;35;Population 600;600;sample_35;85;-0.12311242402175983
36;36;Population 600;600;sample_36;90;-0.07031473758570381
37;37;Population 600;600;sample_37;95;0.294946259596453
38;38;Population 600;600;sample_38;100;-0.07113837951152491
39;39;Population 600;600;sample_39;105;0.1751513576561021
40;40;Population 600;600;sample_40;110;-0.05998209295619957
41;41;Population 600;600;sample_41;115;0.014614854981850934
42;42;Population 600;600;sample_42;120;-0.02491663515321866
43;43;Population 600;600;sample_43;125;-0.07829299349479547
44;44;Population 600;600;sample_44;130;0.1571759879083808
45;45;Population 600;600;sample_45;135;0.08138530206568786
46;46;Population 600;600;sample_46;140;-0.09839809613659392
47;47;Population 600;600;sample_47;145;-0.0812518995956639
48;48;Population 600;600;sample_48;150;-0.002114574147013837
49;49;Population 600;600;sample_49;155;0.09479294552510048
50;50;Population 600;600;sample_50;160;0.05221895039081609
51;51;Population 600;600;sample_51;165;-0.021849339924588467
52;52;Population 600;600;sample_52;170;-0.025691961508485323
53;53;Population 600;600;sample_53;175;0.0007239626268275983
54;54;Population 600;600;sample_54;180;-0.011272280532874844
55;55;Population 600;600;sample_55;185;-0.028477538718880535
56;56;Population 600;600;sample_56;190;-0.0243889174190847
57;57;Population 600;600;sample_57;195;-0.0390482108324917
58;58;Population 600;600;sample_58;200;-0.05346998769117576
59;59;Population 600;600;sample_59;205;0.0535906375377437
60;60;Population 600;600;sample_60;210;-0.023024029790191983
61;61;Population 600;600;sample_61;215;-0.008461581745032372
62;62;Population 600;600;sample_62;220;-0.01678795983864389
63;63;Population 600;600;sample_63;225;-0.04411222318515061
64;64;Population 600;600;sample_64;230;-0.0980760955102171
65;65;Population 600;600;sample_65;235;-0.008486556062497857
66;66;Population 600;600;sample_66;240;0.06612969987252902
67;67;Population 600;600;sample_67;245;0.020649837799171684
68;68;Population 600;600;sample_68;250;-0.09411541225603778
69;69;Population 600;600;sample_69;255;0.034607396735777236
70;70;Population 600;600;sample_70;260;-0.06656971999148825
71;71;Population 600;600;sample_71;265;0.05361826456740177
72;72;Population 600;600;sample_72;270;0.11244206124570505
73;73;Population 600;600;sample_73;275;-0.07353134163529164
