;rank;population_name;population_size;sample_name;sample_size;sample_mean
0;0;Population 100;100;sample_0;5;0.008456204447819082
1;1;Population 100;100;sample_1;10;-0.0821781540795036
2;2;Population 100;100;sample_2;15;0.2688479237053449
3;3;Population 100;100;sample_3;20;0.00024442900240113224
4;4;Population 100;100;sample_4;25;0.1829167137637676
5;5;Population 100;100;sample_5;30;-0.005160238896053885
6;6;Population 100;100;sample_6;35;-0.005310501970887367
7;7;Population 100;100;sample_7;40;0.26568428819850765
8;8;Population 100;100;sample_8;45;-0.013956184102887674
9;9;Population 100;100;sample_9;50;-0.004058352979930601
10;10;Population 100;100;sample_10;55;-0.19056365057209246
11;11;Population 100;100;sample_11;60;0.3419263572088681
12;12;Population 100;100;sample_12;65;0.07348588500666507
13;13;Population 100;100;sample_13;70;-0.12024714302338399
14;14;Population 100;100;sample_14;75;-0.012494437785416828
15;15;Population 100;100;sample_15;80;-0.1093329593118733
16;16;Population 100;100;sample_16;85;-0.07374216962910196
17;17;Population 100;100;sample_17;90;-0.11475332660867422
18;18;Population 100;100;sample_18;95;-0.11015455186813419
19;19;Population 600;600;sample_19;5;-0.06197829704540943
20;20;Population 600;600;sample_20;10;0.19352700343917056
21;21;Population 600;600;sample_21;15;0.6377591524271846
22;22;Population 600;600;sample_22;20;0.15412531941407037
23;23;Population 600;600;sample_23;25;0.19475796231677195
24;24;Population 600;600;sample_24;30;0.021568553052147155
25;25;Population 600;600;sample_25;35;0.196894046717133
26;26;Population 600;600;sample_26;40;-0.10382642551485684
27;27;Population 600;600;sample_27;45;-0.1337191015911248
28;28;Population 600;600;sample_28;50;0.13784217529947346
29;29;Population 600;600;sample_29;55;-0.1576826306513277
30;30;Population 600;600;sample_30;60;-0.04959814031299854
31;31;Population 600;600;sample_31;65;0.030262124190668
32;32;Population 600;600;sample_32;70;-0.09464232458190219
33;33;Population 600;600;sample_33;75;-0.01154855841315133
34;34;Population 600;600;sample_34;80;0.15934500382078692
35;35;Population 600;600;sample_35;85;-0.0020305630956217826
36;36;Population 600;600;sample_36;90;-0.009386276643567181
37;37;Population 600;600;sample_37;95;-0.03466236020494056
38;38;Population 600;600;sample_38;100;-0.010469720283510993
39;39;Population 600;600;sample_39;105;-0.09089284323793596
40;40;Population 600;600;sample_40;110;-0.11693072117053807
41;41;Population 600;600;sample_41;115;-0.05880213557088354
42;42;Population 600;600;sample_42;120;-0.12189521283425432
43;43;Population 600;600;sample_43;125;-0.0020957530016428036
44;44;Population 600;600;sample_44;130;0.0231380576120389
